"ID","Type","Name","Documentation","Source","Target","Specialization"
"id-735652","AssociationRelationship","bepaald met","","id-723109","id-469105",""
"id-735628","AssociationRelationship","beperking van","","id-723094","id-468886",""
"id-735649","AssociationRelationship","bij","","id-472747","id-469427",""
"id-735672","AssociationRelationship","conform","","id-479865","id-729583",""
"id-735698","AssociationRelationship","conform","","id-469075","id-729583",""
"id-73a065b636a74c7cb758c09a0474411a","AssociationRelationship","conform","","id-729592","id-729580",""
"id-735659","AssociationRelationship","door","","id-722964","id-469427",""
"id-d6277348d184454abd00af1c35445c1e","AssociationRelationship","door","","id-729651","id-729634",""
"id-735661","AssociationRelationship","door","","id-470534","id-469427",""
"id-228241b4690848839f301653400ad6e6","AssociationRelationship","geautoriseerd door","","id-729622","id-729629",""
"id-76439a7c32e7495d9c808e842d1ace9b","AssociationRelationship","gemaakt van","","id-729592","id-729611",""
